Tool Name,Category,Description,Tool Reviews,Chat Rating,Rating Justification,ASG Rating,ASG Rating Justifications,Website,Pricing,Cost
ChatGPT,Text Generation,"Generates human-like text for various applications, including content creation and brainstorming.","Widely regarded as the top tool for text generation, praised for its adaptability and ease of use.",5,"Very versatile, with broad applications in content creation, making it essential for text-based work.",,,https://chat.openai.com,Freemium,"Free, $20/month for GPT-4"
MidJourney,Image Generation,"Generates high-quality images from text prompts, useful for conceptual art and design inspiration.","Excellent for concept art, fast output but requires some refinement for professional use.",4,Great for initial concept art but may not meet all professional needs without refinement.,,,https://www.midjourney.com,Paid,$10-60/month based on plan
DALL·E,Image Generation,"Creates images from text descriptions, helpful for visualizing design concepts and ideas.",Versatile tool with high image quality but has a steep learning curve.,4,"Produces high-quality images, but requires some expertise to fully leverage its capabilities.",,,https://openai.com/dall-e-2,Freemium,"Free, with paid credits for more generations"
Runway,Image Enhancement,"Offers tools for enhancing images, creating videos, and working with creative AI models.","Highly effective for improving photos, widely adopted in creative industries.",3,"Strong tool for enhancing visuals, especially useful in marketing and presentations.",,,https://runwayml.com,Paid,$15-100/month
Revit Insights,Design Helper,AI-powered insights integrated with Autodesk Revit to streamline architectural workflows.,"Useful for generating architectural insights, ideal for streamlining workflow.",4,Seamless integration with Revit helps streamline complex workflows in architecture.,,,https://www.autodesk.com,Paid,Depends on Autodesk Revit subscription
Adobe Firefly,Image Generation,AI-powered image generation integrated with Adobe Creative Cloud tools.,"Popular for quick, artistic transformations of images, though sometimes quality is inconsistent.",3,Powerful image generation but may lack control over finer details for high-end projects.,,,https://www.adobe.com,Paid,Included with Adobe Creative Cloud subscription
TestFit,Design Helper,AI-based software for quickly generating building layouts and feasibility studies.,"Widely regarded as the top tool for text generation, praised for its adaptability and ease of use.",5,"Very versatile, with broad applications in content creation, making it essential for text-based work.",,,https://www.testfit.io,Paid,Custom pricing based on project needs
Cove.Tool,Analysis,"AI-powered building performance analysis tool, offering energy modeling and cost optimization.","Excellent for concept art, fast output but requires some refinement for professional use.",4,Great for initial concept art but may not meet all professional needs without refinement.,,,https://www.cove.tools,Paid,"Starting at $2,500/year"
Autodesk Forma,Design Helper,AI-driven generative design tool helping architects with early-stage planning and analysis.,Versatile tool with high image quality but has a steep learning curve.,4,"Produces high-quality images, but requires some expertise to fully leverage its capabilities.",,,https://www.autodesk.com/products/forma/overview,Paid,Custom pricing
Skema,Analysis,AI-based tool for evaluating urban plans and architectural designs.,"Highly effective for improving photos, widely adopted in creative industries.",3,"Strong tool for enhancing visuals, especially useful in marketing and presentations.",,,https://www.skema.ai,Paid,Custom pricing
Veras,Image Generation,AI-powered design assistant for generating architectural visualizations.,"Useful for generating architectural insights, ideal for streamlining workflow.",4,Seamless integration with Revit helps streamline complex workflows in architecture.,,,https://www.veras.ai,Paid,Custom pricing
Spacemaker by Autodesk,Design Helper,AI-based platform that helps optimize early-stage site designs for livability.,"Popular for quick, artistic transformations of images, though sometimes quality is inconsistent.",3,Powerful image generation but may lack control over finer details for high-end projects.,,,https://www.autodesk.com/products/spacemaker/overview,Paid,Custom pricing
LookX,Image Generation,AI-powered fashion and interior design tool that generates custom designs.,"Widely regarded as the top tool for text generation, praised for its adaptability and ease of use.",5,"Very versatile, with broad applications in content creation, making it essential for text-based work.",,,https://lookx.ai,Freemium,"Free, with paid premium features"
Polycam,3D Scanning,AI-powered 3D scanning app to create models from real-world objects.,"Excellent for concept art, fast output but requires some refinement for professional use.",4,Great for initial concept art but may not meet all professional needs without refinement.,,,https://www.polycam.ai,Freemium,Free with paid premium options
Generative Engine,Design Helper,AI-assisted algorithmic design tool for architects and designers.,Versatile tool with high image quality but has a steep learning curve.,4,"Produces high-quality images, but requires some expertise to fully leverage its capabilities.",,,https://generative.design,Paid,Custom pricing
Designify,Image Enhancement,Automatically removes image backgrounds and enhances images for design.,"Highly effective for improving photos, widely adopted in creative industries.",3,"Strong tool for enhancing visuals, especially useful in marketing and presentations.",,,https://designify.com,Freemium,Free with paid Pro version
Planner 5D,Design Helper,AI-powered tool for creating interior and landscape design projects.,"Useful for generating architectural insights, ideal for streamlining workflow.",4,Seamless integration with Revit helps streamline complex workflows in architecture.,,,https://planner5d.com,Freemium,Free with paid premium features
InteriorAI,Image Generation,Provides interior design ideas using AI to transform spaces into new designs.,"Popular for quick, artistic transformations of images, though sometimes quality is inconsistent.",3,Powerful image generation but may lack control over finer details for high-end projects.,,,https://interiorai.com,Freemium,Free with paid premium features
Hypar,Design Helper,Generative design platform for automating architectural layouts.,High praise for its integration with generative design workflows.,4,Strong generative design capabilities.,,,https://www.hypar.io,Paid,Custom pricing
Artbreeder,Image Generation,Generates new images by blending and modifying existing ones.,Solid for blending existing images to create new ones.,4,Great for generating unique visual content.,,,https://www.artbreeder.com,Freemium,"Free, $8-40/month for Pro"
Deep Dream Generator,Creative Design,AI-powered tool for generating artistic images and abstract designs.,"Popular for creative abstract art, though niche usage.",3,"Best for artistic, abstract purposes.",,,https://deepdreamgenerator.com,Freemium,"Free, with paid Pro features"
